branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.UptimeToken$TimeSegment,4,1,0,1,9,0,1,1
v2.8,2.8.0-M1,org.tinylog.pattern.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.policies.AbstractDatePolicy,8,1,2,1,29,14,2,3
v3.0,3.0-SNAPSHOT,org.tinylog.policies.AbstractDatePolicy,8,1,2,2,27,14,2,3
v2.0,2.0.1,org.tinylog.policies.DailyPolicy,6,1,0,1,25,1,0,5
v2.8,2.8.0-M1,org.tinylog.policies.DailyPolicy,5,0,0,1,8,10,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.policies.DailyPolicy,5,0,0,1,8,10,0,2
v2.8,2.8.0-M1,org.tinylog.policies.DynamicPolicy,6,1,0,3,8,9,1,6
v3.0,3.0-SNAPSHOT,org.tinylog.policies.DynamicPolicy,6,1,0,3,8,9,1,6
v2.8,2.8.0-M1,org.tinylog.policies.MonthlyPolicy,5,0,0,1,8,10,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.policies.MonthlyPolicy,5,0,0,1,8,10,0,2
v2.0,2.0.1,org.tinylog.policies.Policy,3,1,0,0,3,3,4,3
v2.8,2.8.0-M1,org.tinylog.policies.Policy,3,1,0,0,3,3,5,3
v3.0,3.0-SNAPSHOT,org.tinylog.policies.Policy,3,1,0,0,3,3,4,3
v2.0,2.0.1,org.tinylog.policies.SizePolicy,6,1,0,1,20,5,0,5
v2.8,2.8.0-M1,org.tinylog.policies.SizePolicy,6,1,0,1,20,5,0,5
v3.0,3.0-SNAPSHOT,org.tinylog.policies.SizePolicy,6,1,0,2,18,5,0,5
v2.0,2.0.1,org.tinylog.policies.StartupPolicy,5,1,0,3,7,10,1,5
v2.8,2.8.0-M1,org.tinylog.policies.StartupPolicy,5,1,0,3,7,10,1,5
v3.0,3.0-SNAPSHOT,org.tinylog.policies.StartupPolicy,5,1,0,3,7,10,0,5
v2.8,2.8.0-M1,org.tinylog.policies.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.policies.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.provider.BundleContextProvider,6,1,0,1,15,0,1,5
v2.8,2.8.0-M1,org.tinylog.provider.BundleContextProvider,6,1,0,1,15,0,1,5
v3.0,3.0-SNAPSHOT,org.tinylog.provider.BundleContextProvider,6,1,0,1,15,0,1,5
v2.0,2.0.1,org.tinylog.provider.BundleLoggingProvider,9,1,0,4,26,0,1,7
v2.8,2.8.0-M1,org.tinylog.provider.BundleLoggingProvider,11,1,0,5,30,0,1,8
v3.0,3.0-SNAPSHOT,org.tinylog.provider.BundleLoggingProvider,11,1,0,5,30,0,1,8
v2.0,2.0.1,org.tinylog.provider.ContextProvider,5,1,0,0,5,10,11,5
v2.8,2.8.0-M1,org.tinylog.provider.ContextProvider,5,1,0,0,5,10,12,5
v3.0,3.0-SNAPSHOT,org.tinylog.provider.ContextProvider,5,1,0,0,5,10,9,5
v2.0,2.0.1,org.tinylog.provider.InternalLogger,4,1,0,1,16,6,20,3
v2.8,2.8.0-M1,org.tinylog.provider.InternalLogger,4,1,0,1,16,6,29,3
v3.0,3.0-SNAPSHOT,org.tinylog.provider.InternalLogger,4,1,0,2,17,6,23,3
v2.0,2.0.1,org.tinylog.provider.LoggingProvider,7,1,0,2,7,21,18,7
v2.8,2.8.0-M1,org.tinylog.provider.LoggingProvider,8,1,0,3,8,28,20,8
v3.0,3.0-SNAPSHOT,org.tinylog.provider.LoggingProvider,8,1,0,3,8,28,9,8
v2.0,2.0.1,org.tinylog.provider.MessageFormatter,4,1,0,3,23,4,3,2
v2.0,2.0.1,org.tinylog.provider.NopContextProvider,6,1,0,1,8,15,2,6
v2.8,2.8.0-M1,org.tinylog.provider.NopContextProvider,6,1,0,1,8,15,2,6
v3.0,3.0-SNAPSHOT,org.tinylog.provider.NopContextProvider,6,1,0,1,8,15,1,6
v2.0,2.0.1,org.tinylog.provider.NopLoggingProvider,9,1,0,4,11,34,1,8
v2.8,2.8.0-M1,org.tinylog.provider.NopLoggingProvider,10,1,0,5,12,43,1,9
v3.0,3.0-SNAPSHOT,org.tinylog.provider.NopLoggingProvider,10,1,0,5,12,43,1,9
v2.0,2.0.1,org.tinylog.provider.ProviderRegistry,4,1,0,8,18,4,11,1
v2.8,2.8.0-M1,org.tinylog.provider.ProviderRegistry,5,1,0,8,29,4,12,2
v3.0,3.0-SNAPSHOT,org.tinylog.provider.ProviderRegistry,5,1,0,9,27,4,4,2
v2.8,2.8.0-M1,org.tinylog.provider.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.provider.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.rules.InitialContextRule,2,1,0,4,4,1,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.rules.InitialContextRule$ContextStatement,3,0,0,3,11,1,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.rules.InitialContextRule$SimpleContext,31,1,0,0,45,423,2,29
v3.0,3.0-SNAPSHOT,org.tinylog.rules.InitialContextRule$SimpleInitialContextFactory,4,1,0,1,5,0,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.rules.SystemStreamCollector,7,1,0,6,20,1,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.rules.SystemStreamCollector$1,2,0,0,2,6,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.rules.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.runtime.AbstractJavaRuntime,2,1,2,1,3,1,2,1
v2.8,2.8.0-M1,org.tinylog.runtime.AbstractJavaRuntime,2,1,2,1,3,1,2,1
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.AbstractJavaRuntime,2,1,2,1,3,1,2,1
v2.0,2.0.1,org.tinylog.runtime.AndroidRuntime,12,1,0,10,35,58,1,8
v2.8,2.8.0-M1,org.tinylog.runtime.AndroidRuntime,15,1,0,10,34,95,1,10
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.AndroidRuntime,14,1,0,4,15,91,1,10
v2.0,2.0.1,org.tinylog.runtime.AndroidRuntime$1,0,1,0,0,0,0,2,0
v2.8,2.8.0-M1,org.tinylog.runtime.AndroidRuntime$1,0,1,0,0,0,0,2,0
v2.0,2.0.1,org.tinylog.runtime.AndroidRuntime$StackTraceElementsFiller,4,1,0,1,5,2,1,0
v2.8,2.8.0-M1,org.tinylog.runtime.AndroidRuntime$StackTraceElementsFiller,4,1,0,1,5,2,1,0
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.AndroidRuntime$StackTraceElementsFiller,1,1,0,0,2,0,1,0
v2.0,2.0.1,org.tinylog.runtime.LegacyJavaRuntime,10,0,0,8,36,41,1,7
v2.8,2.8.0-M1,org.tinylog.runtime.LegacyJavaRuntime,14,0,0,8,42,85,1,11
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.LegacyJavaRuntime,12,0,0,3,13,66,1,10
v2.0,2.0.1,org.tinylog.runtime.LegacyTimestamp,4,1,0,1,9,0,2,3
v2.8,2.8.0-M1,org.tinylog.runtime.LegacyTimestamp,6,1,0,1,13,0,2,6
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.LegacyTimestamp,6,1,0,1,7,15,0,6
v2.0,2.0.1,org.tinylog.runtime.LegacyTimestampFormatter,5,1,0,2,12,4,2,2
v2.8,2.8.0-M1,org.tinylog.runtime.LegacyTimestampFormatter,5,1,0,2,12,4,2,3
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.LegacyTimestampFormatter,5,1,0,2,12,4,0,3
v2.0,2.0.1,org.tinylog.runtime.ModernJavaRuntime,9,0,0,10,22,34,1,7
v2.8,2.8.0-M1,org.tinylog.runtime.ModernJavaRuntime,12,0,0,11,31,56,1,9
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.ModernJavaRuntime,11,0,0,4,12,55,1,9
v2.0,2.0.1,org.tinylog.runtime.ModernJavaRuntime$1,0,1,0,0,0,0,3,0
v2.8,2.8.0-M1,org.tinylog.runtime.ModernJavaRuntime$1,0,1,0,0,0,0,4,0
v2.8,2.8.0-M1,org.tinylog.runtime.ModernJavaRuntime$ClassContextSecurityManager,3,2,0,1,5,3,1,0
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.ModernJavaRuntime$ClassContextSecurityManager,2,2,0,0,3,1,1,0
v2.0,2.0.1,org.tinylog.runtime.ModernJavaRuntime$DynamicStackFrameExtractor,4,1,0,1,14,4,1,2
v2.8,2.8.0-M1,org.tinylog.runtime.ModernJavaRuntime$DynamicStackFrameExtractor,4,1,0,1,10,4,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.ModernJavaRuntime$DynamicStackFrameExtractor,2,1,0,0,3,1,0,1
v2.0,2.0.1,org.tinylog.runtime.ModernJavaRuntime$FixedStackFrameExtractor,4,1,0,1,8,4,1,2
v2.8,2.8.0-M1,org.tinylog.runtime.ModernJavaRuntime$FixedStackFrameExtractor,4,1,0,1,8,4,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.ModernJavaRuntime$FixedStackFrameExtractor,2,1,0,0,3,1,0,1
v2.0,2.0.1,org.tinylog.runtime.PreciseTimestamp,4,1,0,1,8,0,1,3
v2.8,2.8.0-M1,org.tinylog.runtime.PreciseTimestamp,6,1,0,1,14,0,1,6
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.PreciseTimestamp,6,1,0,1,7,15,0,6
v2.0,2.0.1,org.tinylog.runtime.PreciseTimestampFormatter,4,1,0,2,14,0,1,2
v2.8,2.8.0-M1,org.tinylog.runtime.PreciseTimestampFormatter,4,1,0,2,15,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.PreciseTimestampFormatter,4,1,0,2,5,6,0,3
v2.0,2.0.1,org.tinylog.runtime.RuntimeDialect,8,1,0,2,8,28,3,8
v2.8,2.8.0-M1,org.tinylog.runtime.RuntimeDialect,10,1,0,2,10,45,3,10
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.RuntimeDialect,10,1,0,2,10,45,3,10
v2.0,2.0.1,org.tinylog.runtime.RuntimeProvider,14,1,0,6,41,19,11,8
v2.8,2.8.0-M1,org.tinylog.runtime.RuntimeProvider,17,1,0,8,56,26,15,11
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.RuntimeProvider,17,1,0,9,54,26,12,11
v2.0,2.0.1,org.tinylog.runtime.Timestamp,3,1,0,0,3,3,20,3
v2.8,2.8.0-M1,org.tinylog.runtime.Timestamp,4,1,0,0,4,6,22,4
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.Timestamp,5,1,0,0,6,10,22,4
v2.0,2.0.1,org.tinylog.runtime.TimestampFormatter,2,1,0,1,2,1,9,2
v2.8,2.8.0-M1,org.tinylog.runtime.TimestampFormatter,2,1,0,1,2,1,9,2
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.TimestampFormatter,2,1,0,1,2,1,9,2
v2.8,2.8.0-M1,org.tinylog.runtime.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.runtime.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.scala.Logger,1,1,0,2,2,0,0,1
v2.0,2.0.1,org.tinylog.scala.Logger$,5,1,0,1,11,6,1,2
v2.0,2.0.1,org.tinylog.scala.LoggerMacro,50,1,0,5,100,1225,0,50
v2.0,2.0.1,org.tinylog.scala.LoggerMacro$,73,1,0,39,118,2628,1,71
v2.0,2.0.1,org.tinylog.scala.TaggedLogger,3,1,0,2,5,0,2,2
v2.0,2.0.1,org.tinylog.scala.TaggedLoggerMacro,50,1,0,5,100,1225,0,50
v2.0,2.0.1,org.tinylog.scala.TaggedLoggerMacro$,73,1,0,39,119,2628,1,71
v2.8,2.8.0-M1,org.tinylog.slf4j.AbstractTinylogLogger,69,1,2,7,79,0,2,62
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.AbstractTinylogLogger,69,1,2,7,79,0,2,62
v2.8,2.8.0-M1,org.tinylog.slf4j.LegacyTinylogLogger,1,0,0,1,2,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.LegacyTinylogLogger,1,0,0,1,2,0,1,1
v2.8,2.8.0-M1,org.tinylog.slf4j.LegacyTinylogLoggerFactory,3,1,0,3,7,1,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.LegacyTinylogLoggerFactory,3,1,0,3,7,1,1,3
v2.8,2.8.0-M1,org.tinylog.slf4j.ModernTinylogLogger,7,0,0,10,25,0,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.ModernTinylogLogger,7,0,0,10,25,0,1,7
v2.8,2.8.0-M1,org.tinylog.slf4j.ModernTinylogLoggerFactory,3,1,0,3,7,1,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.ModernTinylogLoggerFactory,3,1,0,3,7,1,1,3
v2.0,2.0.1,org.tinylog.slf4j.TinylogLogger,69,1,0,5,78,0,1,63
v2.0,2.0.1,org.tinylog.slf4j.TinylogLoggerFactory,3,1,0,3,7,1,1,3
v2.0,2.0.1,org.tinylog.slf4j.TinylogMdcAdapter,7,1,0,2,20,21,1,7
v2.8,2.8.0-M1,org.tinylog.slf4j.TinylogMdcAdapter,11,1,0,2,25,55,2,11
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.TinylogMdcAdapter,11,1,0,2,25,55,2,11
v2.8,2.8.0-M1,org.tinylog.slf4j.TinylogSlf4jServiceProvider,6,1,0,7,10,9,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.TinylogSlf4jServiceProvider,6,1,0,7,10,9,0,6
v2.8,2.8.0-M1,org.tinylog.slf4j.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.slf4j.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.throwable.AbstractStackTraceElementsFilter,4,0,2,3,21,6,2,2
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.AbstractStackTraceElementsFilter,4,0,2,3,21,6,2,2
v2.8,2.8.0-M1,org.tinylog.throwable.AbstractThrowableFilter,2,1,3,1,9,0,3,1
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.AbstractThrowableFilter,2,1,3,1,9,0,3,1
v2.8,2.8.0-M1,org.tinylog.throwable.DropCauseThrowableFilter,3,0,0,3,14,3,0,3
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.DropCauseThrowableFilter,3,0,0,3,14,3,0,3
v2.8,2.8.0-M1,org.tinylog.throwable.KeepThrowableFilter,3,0,0,1,8,3,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.KeepThrowableFilter,3,0,0,1,8,3,0,2
v2.8,2.8.0-M1,org.tinylog.throwable.StripThrowableFilter,3,0,0,1,8,3,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.StripThrowableFilter,3,0,0,1,8,3,0,2
v2.8,2.8.0-M1,org.tinylog.throwable.ThrowableData,4,1,0,0,4,6,7,4
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.ThrowableData,4,1,0,0,4,6,7,4
v2.8,2.8.0-M1,org.tinylog.throwable.ThrowableFilter,1,1,0,1,1,0,2,1
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.ThrowableFilter,1,1,0,1,1,0,2,1
v2.8,2.8.0-M1,org.tinylog.throwable.ThrowableStore,5,1,0,1,6,2,2,5
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.ThrowableStore,5,1,0,1,6,2,2,5
v2.8,2.8.0-M1,org.tinylog.throwable.ThrowableWrapper,6,1,0,1,12,0,1,6
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.ThrowableWrapper,6,1,0,1,12,0,1,6
v2.8,2.8.0-M1,org.tinylog.throwable.UnpackThrowableFilter,3,0,0,2,12,3,0,3
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.UnpackThrowableFilter,3,0,0,2,12,3,0,3
v2.8,2.8.0-M1,org.tinylog.throwable.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.throwable.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.util.FileSystem,13,1,0,3,47,78,0,9
v3.0,3.0-SNAPSHOT,org.tinylog.util.JvmProcessBuilder,4,1,0,1,17,0,0,3
v3.0,3.0-SNAPSHOT,org.tinylog.util.Maps,3,1,0,0,6,3,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.util.ResultObserver,2,1,0,0,7,1,0,1
v3.0,3.0-SNAPSHOT,org.tinylog.util.StorageHandler,5,2,0,0,11,0,0,5
v3.0,3.0-SNAPSHOT,org.tinylog.util.Strings,2,1,0,0,4,1,0,1
v3.0,3.0-SNAPSHOT,org.tinylog.util.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.writers.AbstractFileBasedWriter,6,0,2,9,34,15,2,0
v3.0,3.0-SNAPSHOT,org.tinylog.writers.AbstractFileBasedWriter,6,0,2,10,32,15,2,0
v2.0,2.0.1,org.tinylog.writers.AbstractFormatPatternWriter,7,1,4,11,32,13,4,2
v2.8,2.8.0-M1,org.tinylog.writers.AbstractFormatPatternWriter,4,0,6,4,17,0,6,2
v3.0,3.0-SNAPSHOT,org.tinylog.writers.AbstractFormatPatternWriter,4,0,6,5,17,0,6,2
v2.8,2.8.0-M1,org.tinylog.writers.AbstractWriter,3,1,3,1,7,1,3,3
v3.0,3.0-SNAPSHOT,org.tinylog.writers.AbstractWriter,4,1,3,1,8,4,3,4
v2.0,2.0.1,org.tinylog.writers.ConsoleWriter,6,0,0,5,20,13,0,6
v2.8,2.8.0-M1,org.tinylog.writers.ConsoleWriter,6,0,0,6,23,13,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.writers.ConsoleWriter,6,0,0,7,21,13,0,6
v2.0,2.0.1,org.tinylog.writers.FileWriter,5,0,0,3,17,0,0,5
v2.8,2.8.0-M1,org.tinylog.writers.FileWriter,5,0,0,3,16,0,0,5
v3.0,3.0-SNAPSHOT,org.tinylog.writers.FileWriter,5,0,0,3,16,0,0,5
v2.0,2.0.1,org.tinylog.writers.JdbcWriter,18,1,0,6,69,97,0,6
v2.8,2.8.0-M1,org.tinylog.writers.JdbcWriter,19,0,0,6,75,103,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.writers.JdbcWriter,19,0,0,7,77,103,0,6
v2.8,2.8.0-M1,org.tinylog.writers.JsonWriter,17,0,0,7,71,64,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.writers.JsonWriter,17,0,0,8,72,64,0,6
v2.0,2.0.1,org.tinylog.writers.LogcatWriter,9,1,0,9,31,26,0,6
v2.8,2.8.0-M1,org.tinylog.writers.LogcatWriter,9,0,0,9,33,26,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.writers.LogcatWriter,9,0,0,3,10,36,0,6
v2.0,2.0.1,org.tinylog.writers.LogcatWriter$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.tinylog.writers.LogcatWriter$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.tinylog.writers.RollingFileWriter,12,0,0,10,61,24,0,5
v2.8,2.8.0-M1,org.tinylog.writers.RollingFileWriter,16,0,0,13,75,66,0,5
v3.0,3.0-SNAPSHOT,org.tinylog.writers.RollingFileWriter,16,0,0,5,17,120,0,5
v2.0,2.0.1,org.tinylog.writers.SharedFileWriter,5,0,0,5,28,0,0,5
v2.8,2.8.0-M1,org.tinylog.writers.SharedFileWriter,5,0,0,5,27,0,0,5
v3.0,3.0-SNAPSHOT,org.tinylog.writers.SharedFileWriter,5,0,0,6,25,0,0,5
v2.8,2.8.0-M1,org.tinylog.writers.SyslogWriter,4,0,0,5,14,0,0,4
v3.0,3.0-SNAPSHOT,org.tinylog.writers.SyslogWriter,4,0,0,5,14,0,0,4
v2.0,2.0.1,org.tinylog.writers.Writer,4,1,0,1,4,6,7,4
v2.8,2.8.0-M1,org.tinylog.writers.Writer,4,1,0,1,4,6,5,4
v3.0,3.0-SNAPSHOT,org.tinylog.writers.Writer,4,1,0,1,4,6,5,4
v2.8,2.8.0-M1,org.tinylog.writers.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.writers.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.writers.raw.AbstractSocketWriter,5,0,2,5,23,4,3,5
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.AbstractSocketWriter,5,0,2,5,23,4,3,5
v2.0,2.0.1,org.tinylog.writers.raw.BufferedWriterDecorator,4,1,0,1,9,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.BufferedWriterDecorator,7,1,0,1,14,0,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.BufferedWriterDecorator,7,1,0,1,14,0,1,7
v2.0,2.0.1,org.tinylog.writers.raw.ByteArrayWriter,3,1,0,0,3,3,8,3
v2.8,2.8.0-M1,org.tinylog.writers.raw.ByteArrayWriter,6,1,0,0,6,15,10,6
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.ByteArrayWriter,6,1,0,0,6,15,10,6
v2.8,2.8.0-M1,org.tinylog.writers.raw.CharsetAdjustmentWriterDecorator,8,1,0,1,15,0,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.CharsetAdjustmentWriterDecorator,8,1,0,1,15,0,1,7
v2.0,2.0.1,org.tinylog.writers.raw.LockedFileOutputStreamWriter,4,1,0,1,12,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.LockedRandomAccessFileWriter,7,1,0,1,19,1,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.LockedRandomAccessFileWriter,7,1,0,1,19,1,1,7
v2.0,2.0.1,org.tinylog.writers.raw.OutputStreamWriter,4,1,0,1,7,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.RandomAccessFileWriter,7,1,0,1,16,1,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.RandomAccessFileWriter,7,1,0,1,16,1,1,7
v2.0,2.0.1,org.tinylog.writers.raw.SynchronizedWriterDecorator,4,1,0,1,8,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.SynchronizedWriterDecorator,7,1,0,1,13,0,1,7
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.SynchronizedWriterDecorator,7,1,0,1,13,0,1,7
v2.8,2.8.0-M1,org.tinylog.writers.raw.SyslogFacility,5,2,0,1,8,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.SyslogFacility,5,2,0,0,8,6,1,3
v2.8,2.8.0-M1,org.tinylog.writers.raw.SyslogSeverity,6,2,0,3,10,9,1,4
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.SyslogSeverity,7,2,0,1,12,15,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.SyslogSeverity$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.tinylog.writers.raw.TcpSocketWriter,4,0,0,2,13,0,1,4
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.TcpSocketWriter,4,0,0,2,13,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.UdpSocketWriter,4,0,0,2,12,0,1,4
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.UdpSocketWriter,4,0,0,2,12,0,1,4
v2.8,2.8.0-M1,org.tinylog.writers.raw.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.writers.raw.package-info,0,1,0,0,0,0,0,0
