branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v2.8,2.8.0-M1,org.tinylog.format.EndlessIterator,3,1,0,0,4,1,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.format.EndlessIterator,3,1,0,0,4,1,1,2
v2.8,2.8.0-M1,org.tinylog.format.JavaTextMessageFormatFormatter,2,0,0,3,10,0,3,2
v3.0,3.0-SNAPSHOT,org.tinylog.format.JavaTextMessageFormatFormatter,2,0,0,4,8,0,0,2
v2.8,2.8.0-M1,org.tinylog.format.LegacyMessageFormatter,2,0,0,1,10,1,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.format.LegacyMessageFormatter,2,0,0,1,10,1,1,2
v2.8,2.8.0-M1,org.tinylog.format.MessageFormatter,1,1,0,0,1,0,21,1
v3.0,3.0-SNAPSHOT,org.tinylog.format.MessageFormatter,1,1,0,0,1,0,10,1
v2.8,2.8.0-M1,org.tinylog.format.PrintfStyleFormatter,2,0,0,3,9,0,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.format.PrintfStyleFormatter,2,0,0,4,7,0,0,2
v2.8,2.8.0-M1,org.tinylog.format.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.format.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.jboss.TinylogLogger,196,0,0,6,214,0,1,191
v2.8,2.8.0-M1,org.tinylog.jboss.TinylogLogger,196,0,0,10,214,0,1,191
v3.0,3.0-SNAPSHOT,org.tinylog.jboss.TinylogLogger,195,1,0,4,196,18915,0,191
v2.0,2.0.1,org.tinylog.jboss.TinylogLogger$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.tinylog.jboss.TinylogLogger$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.tinylog.jboss.TinylogLoggerProvider,14,1,0,4,24,89,0,14
v2.8,2.8.0-M1,org.tinylog.jboss.TinylogLoggerProvider,14,1,0,4,24,89,0,14
v3.0,3.0-SNAPSHOT,org.tinylog.jboss.TinylogLoggerProvider,14,1,0,1,15,91,0,14
v2.8,2.8.0-M1,org.tinylog.jboss.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.jboss.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.jcl.TinylogLog,21,1,0,4,27,0,1,18
v2.8,2.8.0-M1,org.tinylog.jcl.TinylogLog,21,1,0,5,27,0,1,18
v3.0,3.0-SNAPSHOT,org.tinylog.jcl.TinylogLog,20,1,0,2,21,190,1,18
v2.0,2.0.1,org.tinylog.jcl.TinylogLogFactory,8,0,0,3,16,2,0,8
v2.8,2.8.0-M1,org.tinylog.jcl.TinylogLogFactory,8,0,0,3,16,2,0,8
v3.0,3.0-SNAPSHOT,org.tinylog.jcl.TinylogLogFactory,8,1,0,2,9,28,0,8
v2.8,2.8.0-M1,org.tinylog.jcl.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.jcl.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.jsl.TinylogLogger,14,1,0,8,25,0,0,11
v3.0,3.0-SNAPSHOT,org.tinylog.jsl.TinylogLogger,13,1,0,3,14,78,0,11
v2.8,2.8.0-M1,org.tinylog.jsl.TinylogLogger$1,1,1,0,0,3,0,1,0
v2.8,2.8.0-M1,org.tinylog.jsl.TinylogLoggerFinder,2,2,0,1,6,0,0,2
v3.0,3.0-SNAPSHOT,org.tinylog.jsl.TinylogLoggerFinder,2,2,0,1,6,0,0,2
v2.8,2.8.0-M1,org.tinylog.jsl.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.jsl.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.jul.BridgeHandler,8,2,0,4,30,22,1,3
v2.8,2.8.0-M1,org.tinylog.jul.BridgeHandler,8,2,0,7,31,22,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.jul.BridgeHandler,7,2,0,3,8,21,1,3
v2.0,2.0.1,org.tinylog.jul.BridgeHandler$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.tinylog.jul.BridgeHandler$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.tinylog.jul.JulTinylogBridge,2,1,0,1,5,1,0,1
v2.8,2.8.0-M1,org.tinylog.jul.JulTinylogBridge,2,1,0,1,5,1,0,1
v3.0,3.0-SNAPSHOT,org.tinylog.jul.JulTinylogBridge,2,1,0,1,5,1,0,1
v2.8,2.8.0-M1,org.tinylog.jul.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.jul.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.kotlin.Logger,59,1,0,8,74,0,0,56
v2.8,2.8.0-M1,org.tinylog.kotlin.Logger,60,1,0,14,83,0,0,57
v2.8,2.8.0-M1,org.tinylog.kotlin.Logger$tags$1,4,1,0,2,7,6,1,2
v2.0,2.0.1,org.tinylog.kotlin.SupplierUtilsKt,2,1,0,5,8,1,2,2
v2.8,2.8.0-M1,org.tinylog.kotlin.SupplierUtilsKt,2,1,0,4,8,1,2,2
v2.0,2.0.1,org.tinylog.kotlin.SupplierUtilsKt$asSupplier$1,2,1,0,2,4,0,1,1
v2.8,2.8.0-M1,org.tinylog.kotlin.SupplierUtilsKt$asSupplier$1,2,1,0,2,4,0,1,1
v2.0,2.0.1,org.tinylog.kotlin.TaggedLogger,57,1,0,7,67,0,1,56
v2.8,2.8.0-M1,org.tinylog.kotlin.TaggedLogger,59,1,0,11,80,0,2,56
v2.8,2.8.0-M1,org.tinylog.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.path.CountSegment,6,1,0,2,22,13,1,3
v2.8,2.8.0-M1,org.tinylog.path.CountSegment,6,1,0,2,22,15,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.path.CountSegment,6,1,0,2,22,15,1,3
v2.0,2.0.1,org.tinylog.path.DateSegment,5,1,0,5,10,2,1,3
v2.8,2.8.0-M1,org.tinylog.path.DateSegment,5,1,0,5,10,2,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.path.DateSegment,5,1,0,5,10,2,1,3
v2.0,2.0.1,org.tinylog.path.DynamicPath,7,1,0,8,48,11,1,4
v2.8,2.8.0-M1,org.tinylog.path.DynamicPath,7,1,0,10,55,11,1,4
v3.0,3.0-SNAPSHOT,org.tinylog.path.DynamicPath,7,1,0,11,57,11,1,4
v2.8,2.8.0-M1,org.tinylog.path.DynamicSegment,7,1,0,3,10,0,1,5
v3.0,3.0-SNAPSHOT,org.tinylog.path.DynamicSegment,7,1,0,3,10,0,1,5
v2.8,2.8.0-M1,org.tinylog.path.FileTuple,5,1,0,2,16,0,3,5
v3.0,3.0-SNAPSHOT,org.tinylog.path.FileTuple,5,1,0,3,14,0,2,5
v2.0,2.0.1,org.tinylog.path.LastModifiedFileComparator,4,1,0,0,6,6,1,2
v2.8,2.8.0-M1,org.tinylog.path.LastModifiedFileTupleComparator,4,1,0,1,6,6,1,2
v3.0,3.0-SNAPSHOT,org.tinylog.path.LastModifiedFileTupleComparator,4,1,0,1,6,6,1,2
v2.0,2.0.1,org.tinylog.path.PlainTextSegment,4,1,0,2,6,0,1,3
v2.8,2.8.0-M1,org.tinylog.path.PlainTextSegment,4,1,0,2,6,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.path.PlainTextSegment,4,1,0,2,6,0,1,3
v2.0,2.0.1,org.tinylog.path.ProcessIdSegment,4,1,0,3,8,0,1,3
v2.8,2.8.0-M1,org.tinylog.path.ProcessIdSegment,4,1,0,3,8,0,1,3
